Annotation	word	definitions	A1	A2	M-T	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	attacked	take the initiative and go on the offensive	1.0	0.0	1.0	3.8	0.0	506.25	4.88	2.58	2.98
control	attacked	attack someone physically or emotionally	0.0	1.0		2.4	7.74	469.25	4.31	2.9	3.36
control	attacked	set to work upon; turn one's energies vigorously to a task	0.0	0.0	0.0	3.5	0.0	505.8	4.52	3.2	2.81
control	attacked	begin to injure	1.0	0.0	0.0	1.5	1.46	455.0	4.92	03.02	2.1
control	backbone	a central cohesive source of support and stability	0.0	0.0	0.0	5.17	0.7	471.0	4.21	2.63	1.98
control	backbone	fortitude and determination	0.0	0.0	0.0	7.0	5.48	288.0	05.08	1.87	2.74
control	backbone	the series of vertebrae forming the axis of the skeleton and pro...	1.0	1.0	1.0	5.0	1.76	488.43	5.42	3.41	3.42
control	backbone	the part of a book's cover that encloses the inner side of the b...	1.0	0.0	0.0	4.43	0.61	548.38	5.71	04.05	3.75
control	backbone	the part of a network that connects other networks together	0.0	0.0	0.0	4.71	1.35	451.0	5.52	3.11	2.56
control	baked	cook and make edible by putting in a hot oven	1.0	1.0	1.0	3.56	2.72	537.83	4.81	3.96	2.88
control	baked	prepare with dry heat in an oven	1.0	1.0	1.0	5.0	2.56	442.5	5.25	3.72	2.52
control	baked	heat by a natural force	1.0	0.0	0.0	4.2	0.0	359.33	3.9	2.88	2.15
control	baked	be very hot, due to hot weather or exposure to the sun	1.0	0.0	0.0	2.33	0.0	541.57	5.29	3.81	3.23
control	baked	dried out by heat or excessive exposure to sunlight	1.0	0.0	0.0	4.62		396.6	3.89	3.28	2.8
control	bathing	immersing the body in water or sunshine	1.0	0.0		6.0	0.0	510.5	04.06	4.67	3.25
control	bathing	the act of washing yourself	1.0	1.0	1.0	4.0	0.6	552.0	4.19	3.45	3.57
control	bathing	cleanse the entire body	1.0	0.0	1.0	3.0	8.0	510.0	5.56	3.38	3.39
control	bathing	suffuse with or as if with light	0.0	0.0	0.0	4.5	0.0	454.5	03.07	4.21	2.42
control	bathing	clean one's body by immersion into water	1.0	1.0	0.0	4.0	8.0	526.67	4.12	3.89	3.86
control	battle	a hostile meeting of opposing military forces in the course of a...	1.0	1.0	1.0	6.1	01.03	436.86	4.67	3.25	3.22
control	battle	an energetic attempt to achieve something	0.0	0.0	0.0	2.5	0.6	439.75	05.03	2.29	3.1
control	battle	an open clash between two opposing groups	1.0	1.0	1.0	4.14	0.6	477.2	05.03	3.3	2.98
control	battle	battle or contend against in or as if in a battle	1.0	0.0		6.43	0.0	492.67	4.86	3.36	2.15
control	birth	the time when something begins	0.0			1.0		400.0	4.91	2.48	3.28
control	birth	the event of being born	1.0	1.0	1.0	3.67	0.3	580.0	5.69	2.96	02.09
control	birth	the process of giving birth	1.0	1.0	1.0	4.5	0.0	595.33	5.28	3.18	3.25
control	birth	the kinship relation of an offspring to the parents	0.0	0.0	1.0	6.8	0.85	466.33	5.49	2.75	3.25
control	birth	a baby born; an offspring	1.0	0.0	1.0	6.6	0.96	450.5	05.04	04.05	2.48
control	birth	cause to be born	1.0	0.0	1.0	0.67	1.74	551.0	5.67	2.82	2.73
control	bloom	the organic process of bearing flowers	1.0	1.0	1.0	3.0	0.0	504.75	3.93	3.36	2.21
control	bloom	reproductive organ of angiosperm plants especially one having sh...	1.0	1.0	1.0	3.18	0.77	459.44	4.22	3.36	3.28
control	bloom	the best time of youth	0.0	0.0	0.0	3.33	6.82	464.0	5.22	2.65	4.0
control	bloom	a rosy color	0.0	0.0	0.0	5.0	0.6	460.5	5.34	3.74	2.45
control	bloom	the period of greatest prosperity or productivity	0.0	0.0	0.0	5.8	0.45	508.25	5.17	2.42	3.41
control	bloom	a powdery deposit on a surface	1.0	0.0	0.0	4.17	1.9	556.33	5.88	3.91	2.58
control	bloom	produce or yield flowers	1.0	1.0	1.0	3.75	3.27	433.33	4.53	3.75	02.09
control	bought	obtain by purchase; acquire by means of a financial transaction	1.0	1.0	1.0	2.11	1.59	494.67	4.74	2.86	2.84
control	bought	make illegal payments to in exchange for favors or influence	0.0	0.0	0.0	4.38	0.0	464.0	4.33	2.76	2.62
control	bought	be worth or be capable of buying	0.0	0.0	1.0	2.67	3.21	506.0	5.95	02.05	4.38
control	bought	acquire by trade or sacrifice or exchange	0.0	0.0	0.0	4.29	0.0	493.5	4.81	2.89	1.86
control	bought	accept as true	0.0	0.0	0.0	2.33	06.05	550.0	5.1	2.37	3.4
control	breakdown	the act of disrupting an established order so it fails to contin...	1.0	1.0	0.0	4.22	1.28	436.67	5.66	2.4	3.63
control	breakdown	a mental or physical breakdown	0.0	0.0	0.0	4.25	0.0	469.0	04.07	2.7	2.86
control	breakdown	a cessation of normal operation	0.0	0.0	1.0	4.75	1.88	496.0	4.44	2.42	03.06
control	breakdown	an analysis into mutually exclusive categories	0.0	0.0	0.0	4.0	3.44	492.33	3.68	2.19	2.55
control	breathe	draw air into, and expel out of, the lungs	1.0	1.0	1.0	5.0	0.0	530.8	5.73	3.65	2.64
control	breathe	be alive	1.0	0.0	1.0	0.0	0.0	570.0	2.64	3.14	3.9
control	breathe	impart as if by breathing	1.0	0.0	0.0	1.5	5.56	404.5	4.38	03.05	2.55
control	breathe	allow the passage of air through	1.0	0.0	0.0	3.75	0.0	545.0	4.33	3.44	2.65
control	breathe	utter or tell	1.0	0.0	0.0	4.0	0.0	530.5	5.11	2.96	1.59
control	breathe	manifest or evince	0.0	0.0	0.0	5.67	1.94	511.0	4.74	2.43	2.41
control	breathe	take a short break from one's activities in order to relax	0.0	0.0	0.0	4.0	0.0	452.0	4.98	3.25	03.02
control	breathe	reach full flavor by absorbing air and being let to stand after ...	0.0	0.0	0.0	02.08	0.34	544.75	4.89	3.49	2.34
control	breathe	expel	1.0	0.0	0.0	1.0	0.0	509.0	5.51	2.88	1.36
control	budding	reproduction of some unicellular organisms	1.0	0.0	0.0	2.5	2.8	520.0	3.53	3.18	3.45
control	budding	develop buds	1.0	1.0	1.0	5.0	5.97	436.0	3.76	1.87	2.27
control	budding	start to grow or develop	1.0	0.0	0.0	4.5	0.0	458.33	4.8	2.54	1.96
control	budding	beginning to develop	1.0	0.0	0.0	0.5		495.5	05.01	2.18	2.41
control	buy	an advantageous purchase	0.0	0.0	1.0	4.67	4.71	400.5	5.79	2.52	4.1
control	buy	obtain by purchase; acquire by means of a financial transaction	1.0	1.0	1.0	2.11	1.59	494.67	4.74	2.86	2.84
control	buy	make illegal payments to in exchange for favors or influence	0.0	0.0	0.0	4.38	0.0	464.0	4.33	2.76	2.62
control	buy	be worth or be capable of buying	1.0	0.0	1.0	2.67	3.21	506.0	5.95	02.05	4.38
control	buy	acquire by trade or sacrifice or exchange	1.0	0.0	0.0	4.29	0.0	493.5	4.81	2.89	1.86
control	buy	accept as true	0.0	0.0	0.0	2.33	06.05	550.0	5.1	2.37	3.4
control	chicken	the flesh of a chicken used for food	1.0	0.0	1.0	5.0	3.42	535.0	4.12	4.21	3.14
control	chicken	a domestic fowl bred for flesh or eggs; believed to have been de...	1.0	1.0	1.0	4.57	3.43	503.18	4.45	4.21	3.0
control	chicken	a person who lacks confidence, is irresolute and wishy-washy	0.0	0.0	0.0	5.62	0.16	564.67	4.79	2.98	3.13
control	chicken	a foolhardy competition; a dangerous activity that is continued ...	1.0	0.0	0.0	04.08	1.64	469.82	4.72	2.78	2.68
control	chicken	easily frightened	0.0	0.0	0.0	0.0		559.5	4.42	02.04	3.86
control	climb	an upward slope or grade	1.0	0.0	0.0	5.0	0.65	524.33	5.2	3.55	3.74
control	climb	an event that involves rising to a higher point	1.0	0.0		4.0	0.4	561.8	5.32	3.14	3.11
control	climb	the act of climbing something	1.0	1.0	1.0	5.0	0.6	441.33	5.68	2.78	3.42
control	climb	go upward with gradual or continuous progress	0.0	0.0	1.0	3.17	3.7	520.0	5.81	2.57	2.52
control	climb	move with difficulty, by grasping	1.0	1.0	1.0	3.25	0.0	461.25	4.93	2.8	3.72
control	climb	go up or advance	0.0	0.0	0.0	2.75	0.0	493.5	5.76	2.86	3.19
control	climb	slope upward	1.0	0.0	0.0	2.0	8.48	520.5	6.29	3.82	3.11
control	climb	improve one's social status	0.0	0.0	0.0	1.5	2.71	533.4	5.2	2.58	2.89
control	climb	increase in value or to a higher point	0.0	0.0	0.0	4.86	1.36	535.0	4.52	2.64	2.91
control	clings	fruit	1.0	0.0	0.0	2.0		602.0	2.24	4.81	4.0
control	clings	come or be in close contact with; stick or hold together and res...	1.0	0.0	0.0	3.58	1.35	476.11	4.96	3.32	03.03
control	clings	to remain emotionally or intellectually attached	0.0	0.0	0.0	2.2	0.0	527.0	4.0	2.24	2.73
control	clings	hold on tightly or tenaciously	1.0	1.0	1.0	2.2	0.0	509.0	3.66	2.61	3.15
control	constructed	make by combining materials and parts	1.0	1.0	1.0	3.8	6.63	481.25	5.4	3.34	2.65
control	constructed	put together out of artificial or natural components or parts; ...	1.0	1.0	1.0	3.54	4.97	452.23	05.06	2.58	2.18
control	constructed	draw with suitable instruments and under specified conditions	1.0	0.0	0.0	2.17	1.46	435.2	4.29	03.08	2.45
control	constructed	create by linking linguistic units	0.0	0.0	0.0	1.2	1.47	513.0	4.9	2.91	2.82
control	constructed	create by organizing and linking ideas, arguments, or concepts	0.0	0.0	0.0	4.38	0.98	565.57	5.69	2.44	3.27
control	constructed	reassemble mentally	0.0	0.0	0.0	1.0	0.0	393.0	4.4	2.43	4.0
control	cost	the total spent for goods or services including money and time a...	1.0	1.0	1.0	4.44	0.48	453.62	4.97	2.85	2.87
control	cost	the property of having material worth	0.0	1.0	1.0	3.0	0.0	523.0	5.84	3.35	2.85
control	cost	value measured by what must be given or done or undergone to obt...	0.0	0.0	0.0	3.27	0.72	430.62	5.12	2.33	2.56
control	cost	be priced at	1.0	1.0	1.0	3.33	02.09	570.0	3.84	2.88	3.0
control	cost	require to lose, suffer, or sacrifice	0.0	0.0	0.0	4.4	02.01	575.67	05.01	2.35	2.52
control	crazy	someone deranged and possibly dangerous	0.0	1.0	1.0	1.0	2.33	495.5	4.81	2.44	2.49
control	crazy	affected with madness or insanity	0.0	1.0	1.0	6.0		571.67	4.72	02.08	2.19
control	crazy	foolish; totally unsound	0.0	0.0	0.0	0.0		544.25	06.06	1.79	02.05
control	crazy	possessed by inordinate excitement	0.0	0.0	0.0	1.75		580.0	05.01	2.28	2.86
control	crazy	bizarre or fantastic	0.0	0.0	0.0	3.0		508.5	4.62	1.78	4.81
control	crazy	intensely enthusiastic about or preoccupied with	0.0	0.0	0.0	1.8		514.0	3.88	2.34	2.8
control	creating	make or cause to be or to become	1.0	0.0	1.0	3.5	1.47	436.33	5.31	2.21	2.53
control	creating	bring into existence	1.0	1.0	0.0	3.0	0.0	501.0	3.72	02.04	2.0
control	creating	pursue a creative activity; be engaged in a creative activity	0.0	0.0	1.0	3.4	1.7	463.29	5.87	2.42	2.45
control	creating	create by artistic means	0.0	0.0	0.0	2.25	5.64	498.0	4.38	2.38	2.95
control	creating	create or manufacture a man-made product	1.0	1.0	1.0	3.83	2.93	524.5	5.48	3.29	3.13
control	cultivated	foster the growth of	1.0	1.0	1.0	3.0	0.0	485.0	4.39	2.6	03.05
control	cultivated	prepare for crops	1.0	1.0	1.0	1.5	3.87	534.0	6.57	2.36	1.64
control	cultivated	teach or refine to be discriminative in taste or judgment	0.0	0.0	0.0	3.89	1.95	483.4	4.61	2.62	2.78
control	cultivated	adapt	0.0	1.0	1.0	1.0	0.0	548.0	5.44	2.41	2.1
control	cultivated	no longer in the natural state; developed by human care and for ...	0.0	1.0	1.0	4.64		470.11	4.69	3.3	2.4
control	cultivated	marked by refinement in taste and manners	0.0	0.0	0.0	4.0		466.75	4.39	2.9	3.43
control	defended	argue or speak in defense of	1.0	0.0	0.0	5.4	3.51	465.0	5.61	2.97	3.67
control	defended	be on the defensive; act against an attack	0.0	1.0	1.0	2.5	0.0	509.0	5.61	2.75	2.98
control	defended	protect against a challenge or attack	0.0	1.0	1.0	6.4	2.24	350.67	4.9	2.89	03.08
control	defended	fight against or resist strongly	1.0	1.0	0.0	3.0	3.53	501.0	4.92	3.12	2.9
control	defended	protect or fight for as a champion	1.0	0.0		6.5	3.41	523.33	4.84	3.63	04.04
control	defended	be the defense counsel for someone in a trial	0.0	0.0	0.0	6.43	0.0	493.75	4.66	2.93	2.42
control	defended	state or assert	1.0	0.0	0.0	7.33	0.0	500.5	2.67	2.78	3.35
control	demolished	destroy completely	1.0	1.0	1.0	0.0	0.0	379.5	05.01	2.63	3.12
control	demolished	humiliate or depress completely	0.0	0.0	0.0	3.25	4.54	469.67	4.88	2.18	2.35
control	demolished	defeat soundly	0.0	0.0	0.0	3.5	0.0	458.5	5.15	2.38	2.55
control	demolished	torn down and broken up	1.0	1.0	1.0	0.75		480.5	4.23	4.16	3.18
control	depression	a mental state characterized by a pessimistic sense of inadequac...	0.0	1.0	0.0	4.38	1.22	479.67	5.23	2.32	3.27
control	depression	a long-term economic state characterized by unemployment and low...	0.0	0.0	0.0	3.46	1.11	474.7	4.46	3.23	2.72
control	depression	a sunken or depressed geological formation	1.0	1.0	1.0	4.0	0.7	455.75	3.92	2.89	3.45
control	depression	sad feelings of gloom and inadequacy	0.0	0.0	0.0	4.5	2.86	558.5	4.6	02.08	2.18
control	depression	an air mass of lower pressure; often brings precipitation	1.0	0.0	0.0	5.88	0.27	460.88	5.39	3.31	2.3
control	depression	a state of depression and anhedonia so severe as to require clin...	0.0	0.0	0.0	4.44	1.83	492.86	3.83	2.63	3.17
control	depression	a concavity in a surface produced by pressing	1.0	0.0	1.0	4.62	0.82	558.0	4.7	3.24	2.32
control	depression	angular distance below the horizon	1.0	0.0	0.0	1.75	0.0	514.0	6.2	3.56	4.17
control	depression	pushing down	1.0	0.0	1.0	2.0		512.0	5.77	3.73	3.27
control	destroyed	do away with, cause the destruction or undoing of	1.0	1.0	1.0	3.67	0.0	471.0	5.35	2.57	3.52
control	destroyed	destroy completely; damage irreparably	1.0	0.0	0.0	0.25	3.42	452.2	05.03	2.59	2.67
control	destroyed	defeat soundly	1.0	0.0	0.0	3.5	0.0	458.5	5.15	2.38	2.55
control	destroyed	spoiled or ruined or demolished	1.0	1.0	1.0	5.0		387.0	5.83	2.71	3.18
control	destroyed	destroyed physically or morally	0.0	0.0		3.0		345.67	05.06	1.94	03.04
control	devoured	destroy completely	1.0	0.0	0.0	0.0	6.85	379.5	05.01	2.63	3.12
control	devoured	enjoy avidly	0.0	0.0	0.0	0.5	0.0	551.0	3.17	02.08	2.23
control	devoured	eat immoderately	1.0	0.0	1.0	0.5	7.52	553.5	3.19	03.08	2.74
control	devoured	eat greedily	1.0	1.0	1.0	0.5	7.52	534.5	2.62	3.37	3.55
control	drank	take in liquids	1.0	1.0	1.0	5.33	0.0	442.0	5.9	3.89	03.05
control	drank	consume alcohol	1.0	0.0	1.0	3.0	4.72	298.0	5.45	04.08	3.82
control	drank	propose a toast to	1.0	0.0	1.0	7.0	3.73	448.0	5.47	3.56	2.32
control	drank	drink excessive amounts of alcohol; be an alcoholic	1.0	0.0	1.0	3.43	4.68	447.0	4.85	3.58	2.69
control	dried	remove the moisture from and make dry	1.0	1.0	1.0	2.25	2.98	374.5	5.6	3.41	2.89
control	dried	become dry or drier	1.0	1.0	1.0	3.0	6.27	406.0	4.79	3.0	2.58
control	dried	not still wet	1.0	0.0	1.0	1.0		532.5	5.29	3.96	2.7
control	dried	preserved by removing natural moisture	1.0	0.0	1.0	1.6		417.75	3.91	2.97	3.45
control	drowning	cover completely or make imperceptible	0.0	0.0	0.0	3.2	0.0	417.5	5.81	2.7	2.92
control	drowning	get rid of as if by submerging	1.0	0.0	0.0	2.8	0.0	454.33	4.23	2.26	3.12
control	drowning	die from being submerged in water, getting water into the lungs,...	1.0	1.0	1.0	3.89	4.61	540.88	4.21	3.66	3.81
control	drowning	kill by submerging in water	1.0	1.0	1.0	4.6	0.0	532.33	4.41	4.45	4.2
control	drowning	be covered with or submerged in a liquid	1.0	0.0	1.0	5.0	0.0	445.33	4.7	3.76	04.02
control	enjoy	derive or receive pleasure from; get enjoyment from; take pleasu...	0.0	1.0	1.0	4.33	0.0	492.67	4.46	2.34	2.38
control	enjoy	have benefit from	0.0	0.0	1.0	2.5	0.0	583.0	2.71	2.25	2.3
control	enjoy	get pleasure from	0.0	1.0	1.0	4.5	0.0	438.0	3.78	2.21	3.27
control	enjoy	have for one's benefit	0.0	0.0	0.0	1.67	0.0	565.0	04.08	3.11	03.05
control	enjoy	take delight in	0.0	0.0	1.0	3.0	4.74	528.0	4.76	2.68	1.38
control	fighting	the act of fighting; any contest or struggle	1.0	1.0		5.0	0.3	520.0	4.77	3.14	2.71
control	fighting	be engaged in a fight; carry on a fight	1.0	0.0	1.0	4.11	2.44	503.0	4.45	3.7	3.28
control	fighting	fight against or resist strongly	1.0	0.0	0.0	3.0	3.53	501.0	4.92	3.12	2.9
control	fighting	make a strenuous or labored effort	1.0	0.0	0.0	5.17	3.69	439.5	5.19	2.54	2.14
control	fighting	exert oneself continuously, vigorously, or obtrusively to gain a...	1.0	0.0	0.0	4.62	1.66	484.88	5.56	2.67	2.9
control	fighting	engaged in or ready for military or naval operations	1.0	0.0	1.0	4.0		475.8	4.82	3.2	3.0
control	fishing	the act of someone who fishes as a diversion	1.0	0.0	1.0	7.14	0.79	563.75	4.56	3.46	2.75
control	fishing	the occupation of catching fish for a living	1.0	0.0	1.0	5.8	0.7	569.0	4.87	3.78	3.36
control	fishing	seek indirectly	0.0	0.0	0.0	0.5	0.0	475.0	5.83	2.25	3.32
control	fishing	catch or try to catch fish or shellfish	1.0	1.0	1.0	5.0	2.41	512.2	3.81	3.99	2.55
control	flooded	fill quickly beyond capacity; as with a liquid	1.0	0.0		3.14	0.0	417.67	5.1	03.04	2.79
control	flooded	cover with liquid, usually water	1.0	1.0	1.0	1.25	0.0	510.6	5.58	4.0	3.85
control	flooded	supply with an excess of	0.0	0.0	0.0	6.0		567.5	4.58	2.96	3.59
control	flooded	become filled to overflowing	1.0	0.0	1.0	2.33	0.0	369.67	3.66	2.72	3.21
control	flooded	covered with water	1.0	1.0	1.0	1.5		558.5	3.87	4.2	3.55
control	flower	a plant cultivated for its blooms or blossoms	1.0	0.0	1.0	5.57	0.58	446.67	6.15	3.8	3.29
control	flower	reproductive organ of angiosperm plants especially one having sh...	1.0	1.0	1.0	3.18	0.77	459.44	4.22	3.36	3.28
control	flower	the period of greatest prosperity or productivity	0.0	0.0	0.0	5.8	0.45	508.25	5.17	2.42	3.41
control	flower	produce or yield flowers	1.0	1.0	1.0	3.75	3.27	433.33	4.53	3.75	02.09
control	folded	bend or lay so that one part covers the other	1.0	1.0	1.0	3.0	1.36	477.0	5.31	3.85	3.11
control	folded	incorporate a food ingredient into a mixture by repeatedly turni...	1.0	0.0	1.0	4.29	3.43	487.89	3.87	3.23	03.02
control	folded	cease to operate or cause to cease operating	1.0	0.0	0.0	2.67	0.0	536.8	6.55	2.73	2.31
control	folded	confine in a fold, like sheep	1.0	1.0	0.0	6.33	5.54	539.0	4.92	3.5	03.09
control	folded	become folded or folded up	1.0	1.0	1.0	3.67	2.71	468.33	5.4	3.27	3.74
control	foundation	the basis on which something is grounded	1.0	0.0	0.0	5.0	0.6	294.67	5.53	1.91	3.42
control	foundation	an institution supported by an endowment	0.0	0.0	0.0	4.67	0.6	537.0	4.41	3.11	2.3
control	foundation	lowest support of a structure	1.0	1.0	1.0	5.25	4.22	470.0	4.63	3.43	2.77
control	foundation	education or instruction in the fundamentals of a field of knowl...	0.0	0.0	0.0	6.5	1.38	478.4	4.1	2.77	2.0
control	foundation	the fundamental assumptions from which something is begun or dev...	0.0	0.0	0.0	4.5	0.15	481.5	4.72	1.94	3.39
control	foundation	a woman's undergarment worn to give shape to the contours of the...	1.0	0.0	0.0	5.62	03.03	470.0	4.85	3.9	2.84
control	foundation	the act of starting something for the first time; introducing so...	0.0	0.0	0.0	3.67	1.46	440.67	5.0	2.41	3.29
control	fox	alert carnivorous mammal with pointed muzzle and ears and a bush...	1.0	1.0	1.0	4.65	02.07	473.56	5.19	3.84	03.09
control	fox	a shifty deceptive person	0.0	0.0	0.0	4.0	0.4	452.33	5.1	2.8	2.9
control	fox	the grey or reddish-brown fur of a fox	1.0	0.0	1.0	5.0	1.65	490.0	4.24	4.59	2.46
control	fox	deceive somebody	0.0	0.0	0.0	4.0	2.8	515.0	4.19	2.74	2.87
control	fox	be confusing or perplexing to; cause to be unable to think clear...	0.0	0.0	0.0	1.44	2.38	531.86	5.1	02.06	2.75
control	fried	be excessively hot	1.0	0.0	0.0	0.0	0.0	539.0	5.15	3.23	3.74
control	fried	cook on a hot surface using fat	1.0	1.0	1.0	3.0	0.0	544.6	4.58	4.35	2.77
control	fried	kill by electrocution, as in the electric chair	1.0	0.0	0.0	3.29	0.0	509.8	4.28	3.96	3.43
control	fried	cooked by frying in fat	1.0	1.0	1.0	3.0		497.33	4.59	4.52	2.28
control	friendly	troops belonging to or allied with your own military forces	0.0	0.0	1.0	2.0	0.0	409.25	5.11	2.82	2.66
control	friendly	characteristic of or befitting a friend	1.0	1.0	1.0	6.0		570.33	05.03	2.5	2.7
control	friendly	inclined to help or support; not antagonistic or hostile	0.0	1.0	1.0	3.0		451.83	5.53	2.54	2.93
control	friendly	easy to understand or use	0.0	0.0	1.0	3.75		527.33	3.42	2.38	2.61
control	friendly	of or belonging to your own country's forces or those of an ally	0.0	0.0	1.0	4.38		501.8	4.78	2.92	2.97
control	fruit	the ripened reproductive body of a seed plant	1.0	1.0	1.0	5.33	1.35	460.8	5.48	4.22	3.87
control	fruit	an amount of a product	0.0	0.0	0.0	7.75	0.4	470.0	4.64	3.46	2.98
control	fruit	the consequence of some effort or action	0.0	0.0	0.0	5.4	2.71	476.67	4.1	2.61	2.35
control	fruit	cause to bear fruit	0.0	1.0	1.0	1.0	0.0	556.67	05.08	04.04	3.32
control	fruit	bear fruit	0.0	0.0	1.0	2.0	0.0	561.5	4.25	4.84	3.35
control	fuel	a substance that can be consumed to produce energy	1.0	1.0	1.0	3.29	0.27	436.0	3.24	3.29	2.42
control	fuel	provide with a combustible substance that provides energy	1.0	0.0	1.0	5.33	5.16	506.2	3.42	3.12	2.28
control	fuel	provide with fuel	1.0	0.0	1.0	4.0	5.16	544.5	4.85	3.51	2.9
control	fuel	take in fuel, as of a ship	1.0	0.0	1.0	5.8	0.0	520.75	5.78	04.08	3.49
control	fuel	stimulate	0.0	0.0	0.0	1.0	0.0	548.0	2.97	3.22	2.2
control	guns	a weapon that discharges a missile at high velocity	1.0	1.0	1.0	7.75	1.66	423.2	4.82	3.83	2.54
control	guns	large but transportable armament	1.0	0.0	1.0	1.75	0.0	393.0	4.2	3.2	4.11
control	guns	a person who shoots a gun	1.0	0.0	1.0	7.0	2.2	508.0	5.54	4.51	3.52
control	guns	a professional killer who uses a gun	1.0	0.0	1.0	5.43	3.96	516.5	4.41	3.47	3.99
control	guns	a hand-operated pump that resembles a revolver; forces grease in...	1.0	0.0	0.0	5.55	0.86	509.56	5.21	04.03	2.44
control	guns	a pedal that controls the throttle valve	1.0	0.0	0.0	8.8	4.6	503.25	4.5	3.86	3.69
