Annotation,word,definitions,A1,A2,M-T,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,buy,obtain by purchase; acquire by means of a financial transaction,1,1,1,2.11,1.59,494.67,4.74,2.86,2.84,0.3714918584,0.3566925687
control,buy,make illegal payments to in exchange for favors or influence,0,0,0,4.38,0,464,4.33,2.76,2.62,0.1340117753,0.1695646476
control,buy,be worth or be capable of buying,0,0,1,2.67,3.21,506,5.95,2.05,4.38,0.374367704,0.3836379101
control,buy,acquire by trade or sacrifice or exchange,0,0,0,4.29,0,493.5,4.81,2.89,1.86,0.2956731021,0.2735789884
control,buy,accept as true,0,0,0,2.33,6.05,550,5.1,2.37,3.4,0.1449903571,0.2209569551
control,chicken,the flesh of a chicken used for food,0,0,1,5,3.42,535,4.12,4.21,3.14,0.217532396,0.2737984583
control,chicken,a domestic fowl bred for flesh or eggs; believed to have been de...,1,1,1,4.57,3.43,503.18,4.45,4.21,3,0.2715705439,0.2677103814
control,chicken,"a person who lacks confidence, is irresolute and wishy-washy",0,0,0,5.62,0.16,564.67,4.79,2.98,3.13,0.01888129616,0.07750451799
control,chicken,a foolhardy competition; a dangerous activity that is continued ...,0,0,0,4.08,1.64,469.82,4.72,2.78,2.68,0.01523892283,0.08565344308
control,chicken,easily frightened,0,0,0,0,,559.5,4.42,2.04,3.86,0.08799835481,0.1055269279
control,climb,an upward slope or grade,1,0,0,5,0.65,524.33,5.2,3.55,3.74,0.3869064748,0.2449129174
control,climb,an event that involves rising to a higher point,1,0,,4,0.4,561.8,5.32,3.14,3.11,0.2184352308,0.1814015392
control,climb,the act of climbing something,0,1,1,5,0.6,441.33,5.68,2.78,3.42,0.3208885354,0.3281731506
control,climb,go upward with gradual or continuous progress,1,0,1,3.17,3.7,520,5.81,2.57,2.52,0.2476819668,0.2058356583
control,climb,"move with difficulty, by grasping",0,1,1,3.25,0,461.25,4.93,2.8,3.72,0.1912165632,0.2047788675
control,climb,go up or advance,0,0,0,2.75,0,493.5,5.76,2.86,3.19,0.2711315602,0.2833370268
control,climb,slope upward,0,0,0,2,8.48,520.5,6.29,3.82,3.11,0.4686814696,0.2980168164
control,climb,improve one's social status,0,0,0,1.5,2.71,533.4,5.2,2.58,2.89,0.0601836748,0.09826579923
control,climb,increase in value or to a higher point,0,0,0,4.86,1.36,535,4.52,2.64,2.91,0.2294847928,0.1868973952
control,clings,fruit,1,0,0,2,,602,2.24,4.81,4,0.07144761831,0.06428042054
control,clings,come or be in close contact with; stick or hold together and res...,1,0,0,3.58,1.35,476.11,4.96,3.32,3.03,0.2095977068,0.1178739724
control,clings,to remain emotionally or intellectually attached,0,0,0,2.2,0,527,4,2.24,2.73,0.214545683,0.1612672992
control,clings,hold on tightly or tenaciously,0,1,1,2.2,0,509,3.66,2.61,3.15,0.4084576368,0.211640497
control,constructed,make by combining materials and parts,1,1,1,3.8,6.63,481.25,5.4,3.34,2.65,0.1214738023,0.1270041838
control,constructed," put together out of artificial or natural components or parts; ...",1,1,1,3.54,4.97,452.23,5.06,2.58,2.18,0.1766381366,0.1629647828
control,constructed,draw with suitable instruments and under specified conditions,0,0,0,2.17,1.46,435.2,4.29,3.08,2.45,0.1165337607,0.1179799706
control,constructed,create by linking linguistic units,0,0,0,1.2,1.47,513,4.9,2.91,2.82,0.1633640379,0.1484979158
control,constructed,"create by organizing and linking ideas, arguments, or concepts",0,0,0,4.38,0.98,565.57,5.69,2.44,3.27,0.1465873259,0.1533782861
control,constructed,reassemble mentally,0,0,0,1,0,393,4.4,2.43,4,0.1283518001,0.1362693347
control,cost,the total spent for goods or services including money and time a...,1,1,1,4.44,0.48,453.62,4.97,2.85,2.87,0.1970677471,0.1957592182
control,cost,the property of having material worth,0,1,1,3,0,523,5.84,3.35,2.85,0.2277169434,0.2005659863
control,cost,value measured by what must be given or done or undergone to obt...,1,0,0,3.27,0.72,430.62,5.12,2.33,2.56,0.1523719525,0.1691004429
control,cost,be priced at,1,1,1,3.33,2.09,570,3.84,2.88,3,0.622025311,0.413954705
control,cost,"require to lose, suffer, or sacrifice",0,0,0,4.4,2.01,575.67,5.01,2.35,2.52,0.1899051443,0.2188769132
control,crazy,someone deranged and possibly dangerous,0,1,1,1,2.33,495.5,4.81,2.44,2.49,0.2814494269,0.3024271652
control,crazy,affected with madness or insanity,1,1,1,6,,571.67,4.72,2.08,2.19,0.4060224965,0.2861777209
control,crazy,foolish; totally unsound,0,0,0,0,,544.25,6.06,1.79,2.05,0.3347626428,0.3394363523
control,crazy,possessed by inordinate excitement,0,0,0,1.75,,580,5.01,2.28,2.86,0.2323853622,0.2114574363
control,crazy,bizarre or fantastic,0,0,0,3,,508.5,4.62,1.78,4.81,0.4206534028,0.4624439329
control,crazy,intensely enthusiastic about or preoccupied with,0,0,0,1.8,,514,3.88,2.34,2.8,0.1584943583,0.1927470813
control,creating,make or cause to be or to become,1,0,1,3.5,1.47,436.33,5.31,2.21,2.53,0.2673474252,0.2388014942
control,creating,bring into existence,1,1,0,3,0,501,3.72,2.04,2,0.2444788888,0.2341099828
control,creating,pursue a creative activity; be engaged in a creative activity,0,0,1,3.4,1.7,463.29,5.87,2.42,2.45,0.2010287332,0.1764749264
control,creating,"invest with a new title, office, or rank",0,0,0,5.14,0,423.43,4.42,3.28,2.94,0.07458277866,0.09391874839
control,creating,create by artistic means,0,0,0,2.25,5.64,498,4.38,2.38,2.95,0.3666494315,0.3745856484
control,creating,create or manufacture a man-made product,0,1,1,3.83,2.93,524.5,5.48,3.29,3.13,0.4250928611,0.3608427495
control,cultivated,foster the growth of,0,1,1,3,0,485,4.39,2.6,3.05,0.1973478943,0.1579346061
control,cultivated,prepare for crops,1,1,1,1.5,3.87,534,6.57,2.36,1.64,0.2463131187,0.2020840272
control,cultivated,teach or refine to be discriminative in taste or judgment,0,0,0,3.89,1.95,483.4,4.61,2.62,2.78,0.05704717962,0.1214807115
control,cultivated,adapt,0,1,1,1,0,548,5.44,2.41,2.1,0.1157918125,0.1641443223
control,cultivated,,1,1,1,,,,,,,,
control,cultivated,no longer in the natural state; developed by human care and for ...,0,1,1,4.64,,470.11,4.69,3.3,2.4,0.1085317408,0.1594919472
control,cultivated,marked by refinement in taste and manners,0,0,0,4,,466.75,4.39,2.9,3.43,0.1410422605,0.1634159926
control,defended,argue or speak in defense of,0,0,0,5.4,3.51,465,5.61,2.97,3.67,0.2991155063,0.2637743453
control,defended,be on the defensive; act against an attack,1,1,1,2.5,0,509,5.61,2.75,2.98,0.2228653766,0.1291710883
control,defended,protect against a challenge or attack,0,1,1,6.4,2.24,350.67,4.9,2.89,3.08,0.3136239623,0.1970705117
control,defended,fight against or resist strongly,0,1,0,3,3.53,501,4.92,3.12,2.9,0.239224717,0.2024579595
control,defended,protect or fight for as a champion,0,0,,6.5,3.41,523.33,4.84,3.63,4.04,0.3070857326,0.2037304143
control,defended,be the defense counsel for someone in a trial,0,0,0,6.43,0,493.75,4.66,2.93,2.42,0.1761993561,0.1338038573
control,defended,state or assert,0,0,0,7.33,0,500.5,2.67,2.78,3.35,0.1991967466,0.2478109226
control,demolished,destroy completely,1,1,1,0,0,379.5,5.01,2.63,3.12,0.3887029737,0.2340373695
control,demolished,humiliate or depress completely,0,0,0,3.25,4.54,469.67,4.88,2.18,2.35,0.1616770203,0.1121370172
control,demolished,defeat soundly,0,0,0,3.5,0,458.5,5.15,2.38,2.55,0.1823581681,0.1388791427
control,demolished,torn down and broken up,0,1,1,0.75,,480.5,4.23,4.16,3.18,0.4192075729,0.3226486742
control,depression,a mental state characterized by a pessimistic sense of inadequac...,0,1,0,4.38,1.22,479.67,5.23,2.32,3.27,0.1984553656,0.1946384309
control,depression,a long-term economic state characterized by unemployment and low...,0,0,0,3.46,1.11,474.7,4.46,3.23,2.72,0.140676404,0.1117654236
control,depression,a sunken or depressed geological formation,0,1,1,4,0.7,455.75,3.92,2.89,3.45,0.2626906643,0.196903266
control,depression,sad feelings of gloom and inadequacy,0,0,0,4.5,2.86,558.5,4.6,2.08,2.18,0.3095149472,0.2331613041
control,depression,an air mass of lower pressure; often brings precipitation,0,0,0,5.88,0.27,460.88,5.39,3.31,2.3,0.09464373307,0.09933067659
control,depression,a state of depression and anhedonia so severe as to require clin...,0,0,0,4.44,1.83,492.86,3.83,2.63,3.17,0.1720432596,0.2187353518
control,depression,a concavity in a surface produced by pressing,1,0,1,4.62,0.82,558,4.7,3.24,2.32,0.1147516421,0.07313798508
control,depression,angular distance below the horizon,0,0,0,1.75,0,514,6.2,3.56,4.17,0.07950216396,0.08428126698
control,depression,pushing down,0,0,1,2,,512,5.77,3.73,3.27,0.0172588639,0.02001096308
control,destroyed,"do away with, cause the destruction or undoing of",1,1,1,3.67,0,471,5.35,2.57,3.52,0.2947586831,0.281536825
control,destroyed,destroy completely; damage irreparably,1,0,0,0.25,3.42,452.2,5.03,2.59,2.67,0.4408286288,0.3988990746
control,destroyed,defeat soundly,0,0,0,3.5,0,458.5,5.15,2.38,2.55,0.1734688058,0.1117239818
control,destroyed,put,0,0,0,1,0,383,2.62,2.5,1.18,0.02476863004,0.1224384978
control,destroyed,spoiled or ruined or demolished,0,1,1,5,,387,5.83,2.71,3.18,0.6810997128,0.5078695764
control,destroyed,destroyed physically or morally,0,0,,3,,345.67,5.06,1.94,3.04,0.07276076451,0.09421723709
control,devoured,destroy completely,0,0,0,0,6.85,379.5,5.01,2.63,3.12,0.2122408375,0.1941409707
control,devoured,enjoy avidly,0,0,0,0.5,0,551,3.17,2.08,2.23,0.238634415,0.2347247079
control,devoured,eat immoderately,1,0,1,0.5,7.52,553.5,3.19,3.08,2.74,0.33683227,0.2861533612
control,devoured,eat greedily,0,1,1,0.5,7.52,534.5,2.62,3.37,3.55,0.5412649512,0.4156207144
control,drank,take in liquids,1,1,1,5.33,0,442,5.9,3.89,3.05,0.1858510748,0.1848228313
control,drank,consume alcohol,0,0,1,3,4.72,298,5.45,4.08,3.82,0.4877402335,0.4367877245
control,drank,propose a toast to,0,0,1,7,3.73,448,5.47,3.56,2.32,0.1648581512,0.1790247746
control,drank,be fascinated or spell-bound by; pay close attention to,0,0,0,2.75,0,516.5,4.07,2.7,2.13,0.01748372163,0.06598712772
control,drank,drink excessive amounts of alcohol; be an alcoholic,0,0,1,3.43,4.68,447,4.85,3.58,2.69,0.4570668831,0.3598816559
control,dried,remove the moisture from and make dry,1,1,1,2.25,2.98,374.5,5.6,3.41,2.89,0.2993420172,0.2586270534
control,dried,become dry or drier,0,1,1,3,6.27,406,4.79,3,2.58,0.4102720544,0.3182726006
control,dried,not still wet,0,0,1,1,,532.5,5.29,3.96,2.7,0.2355212886,0.2344405502
control,dried,preserved by removing natural moisture,1,0,1,1.6,,417.75,3.91,2.97,3.45,0.2362811752,0.1949794628
control,drowning,cover completely or make imperceptible,0,0,0,3.2,0,417.5,5.81,2.7,2.92,0.01794101018,0.04703643173
control,drowning,get rid of as if by submerging,0,0,0,2.8,0,454.33,4.23,2.26,3.12,0.1952687663,0.1619906196
control,drowning,"die from being submerged in water, getting water into the lungs,...",1,1,1,3.89,4.61,540.88,4.21,3.66,3.81,0.3009846934,0.2788669669
control,drowning,kill by submerging in water,0,1,1,4.6,0,532.33,4.41,4.45,4.2,0.3836956571,0.3009440452
control,drowning,be covered with or submerged in a liquid,1,0,1,5,0,445.33,4.7,3.76,4.02,0.2341396188,0.2083844692
control,enjoy,derive or receive pleasure from; get enjoyment from; take pleasu...,1,1,1,4.33,0,492.67,4.46,2.34,2.38,0.4030218848,0.4000863433
control,enjoy,have benefit from,0,0,1,2.5,0,583,2.71,2.25,2.3,0.3111541867,0.4168982208
control,enjoy,get pleasure from,0,1,1,4.5,0,438,3.78,2.21,3.27,0.3864563107,0.3977409601
control,enjoy,have for one's benefit,0,0,0,1.67,0,565,4.08,3.11,3.05,0.1455906667,0.2585668564
control,enjoy,take delight in,0,0,1,3,4.74,528,4.76,2.68,1.38,0.4242888689,0.3502443135
control,fighting,the act of fighting; any contest or struggle,0,1,,5,0.3,520,4.77,3.14,2.71,0.3606644906,0.2647607699
control,fighting,be engaged in a fight; carry on a fight,1,0,1,4.11,2.44,503,4.45,3.7,3.28,0.4944934038,0.4663705919
control,fighting,fight against or resist strongly,0,0,0,3,3.53,501,4.92,3.12,2.9,0.3927260333,0.3561472247
control,fighting,make a strenuous or labored effort,0,0,0,5.17,3.69,439.5,5.19,2.54,2.14,0.08645352162,0.1383394245
control,fighting,"exert oneself continuously, vigorously, or obtrusively to gain a...",0,0,0,4.62,1.66,484.88,5.56,2.67,2.9,0.1000260976,0.1109345895
control,fighting,engaged in or ready for military or naval operations,0,0,1,4,,475.8,4.82,3.2,3,0.1499484874,0.172957775
control,fishing,the act of someone who fishes as a diversion,0,0,1,7.14,0.79,563.75,4.56,3.46,2.75,0.1981772152,0.2103402438
control,fishing,the occupation of catching fish for a living,0,0,1,5.8,0.7,569,4.87,3.78,3.36,0.3054904491,0.289014833
control,fishing,seek indirectly,0,0,0,0.5,0,475,5.83,2.25,3.32,-0.009409530088,0.03958655708
control,fishing,catch or try to catch fish or shellfish,1,1,1,5,2.41,512.2,3.81,3.99,2.55,0.360342495,0.3521572441
control,flooded,fill quickly beyond capacity; as with a liquid,1,0,,3.14,0,417.67,5.1,3.04,2.79,0.1291037261,0.1017325193
control,flooded,"cover with liquid, usually water",0,1,1,1.25,0,510.6,5.58,4,3.85,0.1364971528,0.1162439138
control,flooded,supply with an excess of,0,0,0,6,,567.5,4.58,2.96,3.59,0.1469785795,0.1433655284
control,flooded,become filled to overflowing,0,0,1,2.33,0,369.67,3.66,2.72,3.21,0.3800502184,0.3244457381
control,flooded,covered with water,0,1,1,1.5,,558.5,3.87,4.2,3.55,0.3240625411,0.294326067
control,flower,a plant cultivated for its blooms or blossoms,0,0,1,5.57,0.58,446.67,6.15,3.8,3.29,0.5428590588,0.4026125818
control,flower,reproductive organ of angiosperm plants especially one having sh...,1,1,1,3.18,0.77,459.44,4.22,3.36,3.28,0.2108722771,0.2271573361
control,flower,the period of greatest prosperity or productivity,0,0,0,5.8,0.45,508.25,5.17,2.42,3.41,0.0666576426,0.07305316674
control,flower,produce or yield flowers,1,1,1,3.75,3.27,433.33,4.53,3.75,2.09,0.1008924954,0.1641802043
control,folded,bend or lay so that one part covers the other,1,1,1,3,1.36,477,5.31,3.85,3.11,0.1780351885,0.1549582228
control,folded,incorporate a food ingredient into a mixture by repeatedly turni...,0,0,1,4.29,3.43,487.89,3.87,3.23,3.02,0.05888409649,0.0831623632
control,folded,cease to operate or cause to cease operating,0,0,0,2.67,0,536.8,6.55,2.73,2.31,0.04234050438,0.1078768946
control,folded,"confine in a fold, like sheep",0,1,0,6.33,5.54,539,4.92,3.5,3.09,0.1955886693,0.1461028713
control,folded,become folded or folded up,0,1,1,3.67,2.71,468.33,5.4,3.27,3.74,0.05390560254,0.07298970222
control,foundation,the basis on which something is grounded,0,0,0,5,0.6,294.67,5.53,1.91,3.42,0.2803785826,0.1217871929
control,foundation,an institution supported by an endowment,0,0,0,4.67,0.6,537,4.41,3.11,2.3,0.4013845225,0.3199066371
control,foundation,lowest support of a structure,1,1,1,5.25,4.22,470,4.63,3.43,2.77,0.2230609606,0.2148161009
