Annotation	word	definitions	BM_original	Source	VVAA	A1	A2	precission_definitions_mean	ic_precission_definitions_mean	familiarity_definitions_mean	imageability_definitions_mean	concreteness_definitions_mean	physicality_definitions_mean
control	serve	put the ball into play	providing food and drink, helping customers to buy goods in a shop	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.33	0.0	482.0	4.74	3.58	03.07
control	struggle	an energetic attempt to achieve something	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.5	0.6	465.0	4.3	2.29	3.95
control	struggle	an open clash between two opposing groups (or individuals); --Thomas Paine	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	1.0	0.0	1.0	4.73	0.46	479.83	5.46	3.33	3.57
control	struggle	strenuous effort	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.5		541.0	05.06	2.44	3.55
control	struggle	make a strenuous or labored effort	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.17	3.69	515.25	4.86	2.54	3.44
control	struggle	to exert strenuous effort against opposition	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.25	2.55	456.5	5.24	2.39	3.77
control	struggle	climb awkwardly, as if by scrambling	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	0.6	9.28	428.25	5.19	2.95	3.66
control	struggle	be engaged in a fight; carry on a fight	a fight between two people for something, or an attempt by one person to escape from the other	https://doi.org/10.1075/celcr.14	1.0	0.0	1.0	4.11	2.44	503.0	4.81	3.7	2.9
control	drop	a shape that is spherical and small	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	1.0	1.0	0.0	5.2	0.6	547.0	5.21	3.4	2.84
control	drop	a small indefinite quantity (especially of a liquid); ; ; ; --Kipling	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	1.0	1.0	0.0	4.12	0.45	484.92	4.21	2.71	4.24
control	drop	a sudden sharp decrease in some quantity	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	3.57	0.6	497.0	3.6	2.9	3.71
control	drop	a steep high face of rock	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	4.8	0.7	501.5	4.16	4.25	3.14
control	drop	a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property)	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.64	0.72	462.0	5.41	03.01	2.97
control	drop	a free and rapid descent by the force of gravity	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	1.0	5.71	0.93	478.2	4.13	2.79	3.23
control	drop	a curtain that can be lowered and raised onto a stage from the flies; often used as background scenery	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.79	2.4	470.4	4.38	3.32	3.46
control	drop	a central depository where things can be left or picked up	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	4.8	2.12	361.2	4.55	3.12	3.15
control	drop	the act of dropping something	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	4.0	0.6	544.33	3.93	2.65	4.29
control	drop	let fall to the ground	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.33	02.08	471.33	4.83	3.69	4.15
control	drop	to fall vertically	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	1.5	0.0	433.5	5.9	3.84	03.07
control	drop	go down in value	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	2.75	0.0	427.5	2.88	2.38	2.83
control	drop	fall or descend to a lower place or level	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	3.75	1.68	435.4	06.04	3.26	2.94
control	drop	terminate an association with	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.0	6.77	477.0	5.45	2.3	4.0
control	drop	utter with seeming casualness; ; drop names""""	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	2.5	0.0	492.38	4.44	2.88	3.45
control	drop	stop pursuing or acting	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	3.0	0.0	540.33	5.29	3.11	2.79
control	drop	cause to fall by or as if by delivering a blow	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.56	2.34	475.5	5.64	3.4	3.16
control	drop	lose (a game)	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	7.0	2.71	469.75	5.13	3.38	3.87
control	drop	pay out	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	1.0	0.0	565.0	2.94	3.54	1.7
control	drop	lower the pitch of (musical notes)	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	6.25		429.0	4.91	3.77	3.28
control	drop	hang freely	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.5	0.0	540.5	4.67	3.0	03.09
control	drop	stop associating with	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.0	0.0	454.0	6.3	3.68	3.55
control	drop	let or cause to fall in drops	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.17	2.35	445.25	4.79	3.24	03.06
control	drop	get rid of	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	1.5	0.0	487.5	3.54	2.26	04.05
control	drop	take (a drug, especially LSD), by mouth	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.71	0.0	489.89	5.53	3.39	3.72
control	drop	omit (a letter or syllable) in speaking or writing	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.44	0.0	477.71	5.0	3.53	3.17
control	drop	leave undone or leave out	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	2.4	0.0	480.67	5.7	2.59	02.08
control	drop	change from one level to another	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	0.75	1.36	425.5	5.77	3.1	2.78
control	drop	fall or sink into a state of exhaustion or death	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.38	4.26	514.8	5.16	3.81	2.59
control	drop	grow worse	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.0	0.0	529.0	3.28	2.32	04.04
control	drop	give birth; used for animals	a very small amount of liquid with a round shape	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.75	0.0	500.0	3.39	3.64	3.28
control	labour	a social class comprising those who do manual labor or work for wages	work	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.27	2.26	471.33	05.01	3.43	2.54
control	labour	concluding state of pregnancy; from the onset of contractions to the birth of a child	work	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	6.25	1.51	526.71	04.07	3.57	03.02
control	labour	a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries	work	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	3.88	2.2	496.27	05.03	2.83	03.08
control	labour	productive work (especially physical work done for wages)	work	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	1.71	02.04	523.0	4.98	2.7	03.08
control	labour	strive and make an effort to reach a goal	work	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	5.57	05.08	504.6	5.21	2.77	2.96
control	labour	undergo the efforts of childbirth	work	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	4.67	4.11	514.33	4.83	2.93	2.8
control	trap	a device in which something (usually an animal) can be caught and penned	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	3.6	0.4	512.12	5.26	3.14	3.65
control	trap	drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.33	2.74	455.58	4.91	04.06	2.9
control	trap	something (often something deceptively attractive) that catches you unawares	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.6	0.0	500.44	4.47	2.33	3.66
control	trap	a device to hurl clay pigeons into the air for trapshooters	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	6.0	01.03	526.5	05.08	4.28	04.08
control	trap	the act of concealing yourself and lying in wait to attack by surprise	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	4.38	2.19	524.17	4.5	2.92	3.53
control	trap	informal terms for the mouth	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.0	0.8	545.33	4.27	3.26	2.79
control	trap	a light two-wheeled carriage	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	6.5	2.42	505.67	05.02	4.54	3.13
control	trap	a hazard on a golf course	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	7.0	2.68	540.0	4.71	4.0	04.02
control	trap	place in a confining or embarrassing position	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	5.29	0.0	495.0	4.62	2.75	2.75
control	trap	catch in or as if in a trap	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	0.0	1.0	6.33	0.0	500.5	4.57	4.2	2.73
control	trap	hold or catch as if in a trap	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	0.0	1.0	5.33	0.0	515.33	4.97	04.03	2.48
control	trap	to hold fast or prevent from moving	a piece of equipment used for catching animals	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	2.4	0.0	504.5	5.47	3.29	2.14
control	survey	a detailed critical inspection	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	0.0	1.0	5.5	04.01	565.0	4.91	2.51	4.0
control	survey	short descriptive summary (of events)	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.5	0.6	475.83	5.85	2.88	4.37
control	survey	the act of looking or seeing or observing	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	6.83	01.07	448.25	5.14	03.09	3.14
control	survey	consider in a comprehensive way	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.4	5.98	509.33	5.69	1.95	2.55
control	survey	look over carefully or inspect	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	3.2	06.06	485.0	4.64	2.81	2.34
control	survey	keep under surveillance	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	4.0	0.0	475.0	5.45	2.74	3.29
control	survey	hold a review (of troops)	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	0.0	1.0	5.0	4.82	496.5	5.21	3.24	3.18
control	survey	make a survey of; for statistical purposes	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	2.75	0.0	527.2	4.97	2.65	3.65
control	survey	plot a map of (land)	to examine an area of land in order to make a map of it	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	6.25	0.0	519.2	5.95	4.21	3.83
control	development	act of improving by expanding or enlarging or refining	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.38	0.0	381.4	4.61	2.65	2.41
control	development	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	1.0	0.0	0.0	4.81	0.4	531.83	4.65	2.67	3.74
control	development	(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	1.0	1.0	4.0	1.16	508.65	05.01	2.85	3.19
control	development	a recent event that has some relevance for the present situation	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.25	0.4	441.0	4.82	2.44	3.63
control	development	the act of making some area of land or water more profitable or productive or useful	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.92	0.07	526.12	4.9	3.15	2.98
control	development	a district that has been developed to serve some purpose	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	2.75	1.44	476.0	3.89	2.86	1.93
control	development	a state in which things are improving; the result of developing (as in the early part of a game of chess)	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	6.93	0.66	453.42	4.23	3.33	3.28
control	development	processing a photosensitive material in order to make an image visible	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	3.8	0.4	469.57	5.91	03.05	2.95
control	development	(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated	change, growth, or improvement over a period of time	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.44	1.7	470.0	4.81	3.14	3.27
control	role	the actions and activities assigned to or required or expected of a person or group	the character played by a particular actor in a film, play etc.	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	05.09	0.15	537.57	4.9	3.23	3.24
control	role	an actor's portrayal of someone in a play	the character played by a particular actor in a film, play etc.	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	6.57	0.7	505.6	5.21	3.44	3.5
control	role	what something is used for	the character played by a particular actor in a film, play etc.	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	1.5		470.0	3.16	2.23	04.08
control	role	normal or customary activity of a person in a particular social setting	the character played by a particular actor in a film, play etc.	https://doi.org/10.1075/celcr.14	0.0	0.0	0.0	4.45	0.17	507.14	5.92	2.59	3.64
control	elegant	refined and tasteful in appearance or behavior or style	elegant places and things are attractive because they are beautiful in a simple way	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	5.25		550.4	05.05	2.34	3.0
control	elegant	suggesting taste, ease, and wealth	elegant places and things are attractive because they are beautiful in a simple way	https://doi.org/10.1075/celcr.14	0.0	1.0	0.0	5.75		448.17	5.62	2.78	3.5
control	elegant	displaying effortless beauty and simplicity in movement or execution	elegant places and things are attractive because they are beautiful in a simple way	https://doi.org/10.1075/celcr.14	1.0	1.0	1.0	5.75		534.67	4.89	2.88	3.71
control	support	the activity of providing for or maintaining by supplying with money or necessities	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	5.22	0.72	464.6	4.92	3.25	03.08
control	support	aiding the cause or policy or interests of	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	5.67	0.3	448.75	3.85	2.33	2.39
control	support	something providing immaterial assistance to a person or cause or interest	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	5.22	0.56	478.29	5.1	2.51	2.51
control	support	a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	0.0	5.89	1.39	488.31	5.37	3.29	2.99
control	support	documentary validation	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	3.5	8.99	503.0	5.84	03.01	3.91
control	support	the financial means whereby one lives	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	0.0	3.75	0.6	512.5	4.72	2.65	2.7
control	support	supporting structure that holds up or provides a foundation	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	1.0	1.0	1.0	4.38	0.7	569.6	5.59	3.49	02.09
control	support	the act of bearing the weight of or strengthening	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	1.0	6.0	0.88	488.25	4.47	2.84	3.37
control	support	a musical part (vocal or instrumental) that supports or provides background for other musical parts	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	0.0	6.38	1.73	405.64	4.96	3.24	2.86
control	support	any device that bears the weight of another thing	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	1.0	2.83	0.77	502.8	5.38	3.73	2.92
control	support	financial resources provided to make some project possible	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	0.0	1.86	0.6	462.0	5.23	2.54	2.44
control	support	give moral or psychological support, aid, or courage to	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	4.57	0.0	526.75	4.15	2.37	3.45
control	support	support materially or financially	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	3.0		419.0	4.85	2.48	2.66
control	support	be behind; approve of	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	2.33	0.0	588.67	2.94	2.66	3.68
control	support	be the physical support of; carry the weight of	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	1.0	1.0	1.0	1.25	3.74	545.8	3.78	3.53	2.92
control	support	establish or strengthen as with new evidence or facts	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	5.0	2.0	479.25	5.37	2.74	2.92
control	support	adopt as a belief	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	6.0	0.0	530.0	4.64	1.78	03.08
control	support	support with evidence or authority or make more certain or confirm	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	4.56	0.0	445.83	4.68	2.55	3.0
control	support	argue or speak in defense of	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	1.0	0.0	5.4	3.51	528.33	6.13	2.97	2.73
control	support	play a subordinate role to (another performer)	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	4.67	6.52	454.0	5.33	2.98	3.22
control	support	be a regular customer or client of	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	4.67	0.0	416.0	4.55	3.37	3.63
control	support	put up with something or somebody unpleasant	something that holds the weight of an object, building, or structure so that it does not move or fall	https://doi.org/10.1007/s10775-017-9345-2	0.0	0.0	0.0	2.6	0.0	476.5	3.95	2.5	03.06
control	emerge	come out into view, as from concealment	to come out of something or out from behind something	https://doi.org/10.6035/CLR	0.0	1.0	1.0	3.8	0.0	523.0	5.49	2.82	3.29
control	emerge	come out of	to come out of something or out from behind something	https://doi.org/10.6035/CLR	0.0	0.0	1.0	0.0	0.0	471.0	4.74	2.72	1.7
control	emerge	become known or apparent	to come out of something or out from behind something	https://doi.org/10.6035/CLR	0.0	1.0	0.0	3.25	0.0	511.0	5.55	1.7	3.88
control	emerge	come up to the surface of or rise	to come out of something or out from behind something	https://doi.org/10.6035/CLR	1.0	1.0	1.0	3.0	5.0	481.67	5.36	3.67	2.45
control	emerge	happen or occur as a result of something	to come out of something or out from behind something	https://doi.org/10.6035/CLR	0.0	1.0	0.0	4.83	0.0	463.0	3.45	02.07	2.92
control	depression	a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	0.0		4.38	1.22	535.33	4.97	2.32	3.25
control	depression	a long-term economic state characterized by unemployment and low prices and low levels of trade and investment	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	0.0		3.46	1.11	496.27	4.43	3.19	2.3
control	depression	a sunken or depressed geological formation	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	1.0	1.0		4.0	0.7	435.5	06.01	2.89	2.89
control	depression	sad feelings of gloom and inadequacy	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	0.0		4.5	2.86	535.0	4.78	02.08	3.41
control	depression	a period during the 1930s when there was a worldwide economic depression and mass unemployment	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	0.0		5.1	01.03	496.71	4.86	2.83	2.64
control	depression	an air mass of lower pressure; often brings precipitation	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	1.0		5.88	0.27	495.62	4.35	3.31	4.0
control	depression	a state of depression and anhedonia so severe as to require clinical intervention	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	0.0		4.44	1.83	499.43	4.26	2.63	3.1
control	depression	a concavity in a surface produced by pressing	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	1.0	1.0		4.62	0.82	537.75	4.34	3.24	2.56
control	depression	angular distance below the horizon (especially of a celestial object)	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	1.0		3.25	1.21	484.25	5.27	03.08	3.54
control	depression	pushing down	an area on a surface that is lower than the parts around it	https://doi.org/10.6035/CLR	0.0	1.0		2.0		557.0	5.79	3.73	05.09
control	niche	a position particularly well suited to the person who occupies it	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	0.0	0.0	4.44	1.53	463.83	4.76	03.08	3.29
control	niche	a small concavity	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	1.0	1.0	1.0	5.33	1.45	469.5	5.0	3.22	2.58
control	niche	an enclosure that is set back or indented	a hollow space in a wall	https://doi.org/10.18485/esptoday.2021.9.1.8	0.0	1.0	1.0	5.0	0.9	457.0	4.44	3.87	3.11
