Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
control,serve,do duty or hold offices; serve in a specific function,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,4.89,0,554,4.09,3.11,3.35,0.2058587357,0.1845403343
control,serve,contribute or conduce to,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,4.33,0,558.5,6.78,2.13,2.55,0.2987995297,0.1979305893
control,serve,be used by; as of a utility,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,5.83,0,534.67,3.49,2.86,3.84,0.1784532517,0.1261512209
control,serve,help to some food; help with food or drink,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,1,0,1,3.71,5.38,552.5,3.45,3.9,3.33,0.2645233482,0.1895955473
control,serve,provide (usually but not necessarily food),"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,1,1,0,1.17,5.57,514.17,5.24,2.73,2.98,0.1891045151,0.1810881745
control,serve,"devote (part of) one's life or efforts to, as of countries, institutions, or ideas","providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,6,0,465.46,5.64,2.87,3.67,0.1027423316,0.1487326743
control,serve,"promote, benefit, or be useful or beneficial to","providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,1,0,3.29,0,499.17,4.96,2.1,2.82,0.2171542794,0.1936877593
control,serve,spend time in prison or in a labor camp,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,6.11,2.09,561.4,5.6,3.62,3.43,0.07722370941,0.09695036002
control,serve,work for or be a servant to,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,1,4.4,0,512,3.58,4.06,2.35,0.3145200014,0.2144307792
control,serve,deliver a warrant or summons to someone,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,5.83,0,439.25,6.12,3.38,3.26,0.1709807864,0.1623741873
control,serve,"be sufficient; be adequate, either in quality or quantity","providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,1,0,3,3.93,531.57,4.02,2.17,3.29,0.09439666457,0.1255952068
control,serve,do military service,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,5.67,0,456.5,6.28,3.1,2.65,0.341644153,0.2303359732
control,serve,mate with,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,6,,219,6.62,4.34,1.09,0.01471127104,0.02235535532
control,serve,put the ball into play,"providing food and drink, helping customers to buy goods in a shop",https://doi.org/10.1075/celcr.14,0,0,0,2.33,0,482,4.74,3.58,3.07,0.1504926495,0.1622382974
control,struggle,an energetic attempt to achieve something,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,0,0,0,2.5,0.6,465,4.3,2.29,3.95,0.1254113419,0.1767022945
control,struggle,an open clash between two opposing groups (or individuals); --Thomas Paine,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,1,1,1,4.73,0.46,479.83,5.46,3.33,3.57,0.1366677595,0.1417156968
control,struggle,strenuous effort,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,0,0,0,3.5,,541,5.06,2.44,3.55,0.310795933,0.2282373421
control,struggle,make a strenuous or labored effort,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,0,0,0,5.17,3.69,515.25,4.86,2.54,3.44,0.2364706591,0.2269405611
control,struggle,to exert strenuous effort against opposition,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,0,0,0,3.25,2.55,456.5,5.24,2.39,3.77,0.2870965004,0.2369531114
control,struggle,"climb awkwardly, as if by scrambling","a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,0,0,0,0.6,9.28,428.25,5.19,2.95,3.66,0.1795668999,0.2395980358
control,struggle,be engaged in a fight; carry on a fight,"a fight between two people for something, or an attempt by one person to escape from the other",https://doi.org/10.1075/celcr.14,1,1,1,4.11,2.44,503,4.81,3.7,2.9,0.4118411932,0.321923811
control,drop,a shape that is spherical and small,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,1,1,0,5.2,0.6,547,5.21,3.4,2.84,0.05199622114,0.09534484396
control,drop,a small indefinite quantity (especially of a liquid); ; ; ; --Kipling,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,1,0,0,4.12,0.45,484.92,4.21,2.71,4.24,0.04780290499,0.06448288572
control,drop,a sudden sharp decrease in some quantity,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,3.57,0.6,497,3.6,2.9,3.71,0.2196143847,0.3044040371
control,drop,a steep high face of rock,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,1,4.8,0.7,501.5,4.16,4.25,3.14,0.1557722699,0.2233445989
control,drop,a predetermined hiding place for the deposit and distribution of illicit goods (such as drugs or stolen property),a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,3.64,0.72,462,5.41,3.01,2.97,0.04483969705,0.0877116669
control,drop,a free and rapid descent by the force of gravity,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,1,5.71,0.93,478.2,4.13,2.79,3.23,0.1362218529,0.1480579436
control,drop,a curtain that can be lowered and raised onto a stage from the flies; often used as background scenery,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,0,5.79,2.4,470.4,4.38,3.32,3.46,0.0950696559,0.09857955296
control,drop,a central depository where things can be left or picked up,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,0,4.8,2.12,361.2,4.55,3.12,3.15,0.05595236495,0.1031093407
control,drop,the act of dropping something,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,0,4,0.6,544.33,3.93,2.65,4.29,0.2555022292,0.2821411391
control,drop,let fall to the ground,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.33,2.08,471.33,4.83,3.69,4.15,0.3495144049,0.292602554
control,drop,to fall vertically,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,1,1.5,0,433.5,5.9,3.84,3.07,0.3496793881,0.3431089334
control,drop,go down in value,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.75,0,427.5,2.88,2.38,2.83,0.1570795458,0.1854469143
control,drop,fall or descend to a lower place or level,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,1,1,3.75,1.68,435.4,6.04,3.26,2.94,0.3768685274,0.3109927312
control,drop,terminate an association with,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,4,6.77,477,5.45,2.3,4,0.06971457042,0.1250371672
control,drop,"utter with seeming casualness; ; drop names""""""""""""""""",a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.5,0,492.38,4.44,2.88,3.45,0.01412262302,0.06346155144
control,drop,stop pursuing or acting,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,3,0,540.33,5.29,3.11,2.79,0.001275473585,0.04225428356
control,drop,leave or unload,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,4.67,4.57,505,4.85,2.87,2.28,0.3027431071,0.2872625738
control,drop,cause to fall by or as if by delivering a blow,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.56,2.34,475.5,5.64,3.4,3.16,0.2389769768,0.2538705161
control,drop,lose (a game),a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,7,2.71,469.75,5.13,3.38,3.87,0.1948096473,0.2387108505
control,drop,pay out,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,1,0,565,2.94,3.54,1.7,0.08973987401,0.2293213606
control,drop,lower the pitch of (musical notes),a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,6.25,,429,4.91,3.77,3.28,0.1805728544,0.1729574038
control,drop,hang freely,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,1.5,0,540.5,4.67,3,3.09,0.1653532935,0.1281266473
control,drop,stop associating with,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,1,0,454,6.3,3.68,3.55,0.04310878739,0.07087230124
control,drop,let or cause to fall in drops,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.17,2.35,445.25,4.79,3.24,3.06,0.3267460751,0.2672084558
control,drop,get rid of,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,1.5,0,487.5,3.54,2.26,4.05,0.1646285057,0.1832192838
control,drop,"take (a drug, especially LSD), by mouth",a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,3.71,0,489.89,5.53,3.39,3.72,0.06623011921,0.1345691293
control,drop,omit (a letter or syllable) in speaking or writing,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,5.44,0,477.71,5,3.53,3.17,0.0699740353,0.09766699038
control,drop,leave undone or leave out,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.4,0,480.67,5.7,2.59,2.08,0.2316746314,0.2041776826
control,drop,change from one level to another,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,0.75,1.36,425.5,5.77,3.1,2.78,0.1473537106,0.2317979597
control,drop,fall or sink into a state of exhaustion or death,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,6.38,4.26,514.8,5.16,3.81,2.59,0.254607477,0.2600471586
control,drop,grow worse,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,1,0,529,3.28,2.32,4.04,0.114354603,0.2199206799
control,drop,give birth; used for animals,a very small amount of liquid with a round shape,https://doi.org/10.1075/celcr.14,0,0,0,2.75,0,500,3.39,3.64,3.28,0.07341616933,0.09683480393
control,labour,a social class comprising those who do manual labor or work for wages,work,https://doi.org/10.1075/celcr.14,0,0,0,4.27,2.26,471.33,5.01,3.43,2.54,0.2984678274,
control,labour,concluding state of pregnancy; from the onset of contractions to the birth of a child,work,https://doi.org/10.1075/celcr.14,0,1,0,6.25,1.51,526.71,4.07,3.57,3.02,0.1155822234,
control,labour,a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries,work,https://doi.org/10.1075/celcr.14,0,0,0,3.88,2.2,496.27,5.03,2.83,3.08,0.1464192511,
control,labour,productive work (especially physical work done for wages),work,https://doi.org/10.1075/celcr.14,1,0,1,1.71,2.04,523,4.98,2.7,3.08,0.2613850201,
control,labour,work hard,work,https://doi.org/10.1075/celcr.14,0,0,1,3,,547,4.04,3.62,2.45,0.3994932026,
control,labour,strive and make an effort to reach a goal,work,https://doi.org/10.1075/celcr.14,0,0,0,5.57,5.08,504.6,5.21,2.77,2.96,0.09975477662,
control,labour,undergo the efforts of childbirth,work,https://doi.org/10.1075/celcr.14,0,1,0,4.67,4.11,514.33,4.83,2.93,2.8,0.2107573512,
control,trap,a device in which something (usually an animal) can be caught and penned,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,1,1,1,3.6,0.4,512.12,5.26,3.14,3.65,0.1253170415,0.1454891972
control,trap,drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,5.33,2.74,455.58,4.91,4.06,2.9,0.1025468622,0.1302441599
control,trap,something (often something deceptively attractive) that catches you unawares,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,1.6,0,500.44,4.47,2.33,3.66,0.1452702742,0.1870534537
control,trap,a device to hurl clay pigeons into the air for trapshooters,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,6,1.03,526.5,5.08,4.28,4.08,0.1603934666,0.158514342
control,trap,the act of concealing yourself and lying in wait to attack by surprise,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,4.38,2.19,524.17,4.5,2.92,3.53,0.09031820565,0.1342174038
control,trap,informal terms for the mouth,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,3,0.8,545.33,4.27,3.26,2.79,0.08994011457,0.1155691184
control,trap,a light two-wheeled carriage,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,1,0,6.5,2.42,505.67,5.02,4.54,3.13,0.01775508374,0.1202121004
control,trap,a hazard on a golf course,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,7,2.68,540,4.71,4,4.02,0.101797279,0.1321353304
control,trap,place in a confining or embarrassing position,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,0,5.29,0,495,4.62,2.75,2.75,0.08117290214,0.1092649475
control,trap,catch in or as if in a trap,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,1,6.33,0,500.5,4.57,4.2,2.73,0.3928344846,0.2885575593
control,trap,hold or catch as if in a trap,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,0,1,5.33,0,515.33,4.97,4.03,2.48,0.2575256377,0.1698324215
control,trap,to hold fast or prevent from moving,a piece of equipment used for catching animals,https://doi.org/10.1075/celcr.14,0,1,1,2.4,0,504.5,5.47,3.29,2.14,0.1065641679,0.1057537468
control,survey,a detailed critical inspection,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,1,5.5,4.01,565,4.91,2.51,4,0.2821483413,0.1438525468
control,survey,short descriptive summary (of events),to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,0,1.5,0.6,475.83,5.85,2.88,4.37,0.1080573751,0.08800260443
control,survey,the act of looking or seeing or observing,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,1,1,6.83,1.07,448.25,5.14,3.09,3.14,0.1431925371,0.06024266919
control,survey,consider in a comprehensive way,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,0,6.4,5.98,509.33,5.69,1.95,2.55,0.152996236,0.1179974005
control,survey,look over carefully or inspect,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,1,1,3.2,6.06,485,4.64,2.81,2.34,0.3061216027,0.07606509017
control,survey,keep under surveillance,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,1,4,0,475,5.45,2.74,3.29,0.1409533583,0.06177263462
control,survey,hold a review (of troops),to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,1,5,4.82,496.5,5.21,3.24,3.18,0.1542149161,0.1012332079
control,survey,make a survey of; for statistical purposes,to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,0,0,0,2.75,0,527.2,4.97,2.65,3.65,0.1271987902,0.08138075215
control,survey,plot a map of (land),to examine an area of land in order to make a map of it,https://doi.org/10.1075/celcr.14,1,0,1,6.25,0,519.2,5.95,4.21,3.83,0.1574577962,0.1158725408
control,development,act of improving by expanding or enlarging or refining,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,4.38,0,381.4,4.61,2.65,2.41,0.1889743775,0.1950015314
control,development,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,1,0,0,4.81,0.4,531.83,4.65,2.67,3.74,0.1477261733,0.12281751
control,development,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,1,1,4,1.16,508.65,5.01,2.85,3.19,0.153625358,0.1286697073
control,development,a recent event that has some relevance for the present situation,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,4.25,0.4,441,4.82,2.44,3.63,0.09912678599,0.08257136494
control,development,the act of making some area of land or water more profitable or productive or useful,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,3.92,0.07,526.12,4.9,3.15,2.98,0.1213063491,0.1487559672
control,development,a district that has been developed to serve some purpose,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,2.75,1.44,476,3.89,2.86,1.93,0.1741218976,0.1859109942
control,development,a state in which things are improving; the result of developing (as in the early part of a game of chess),"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,6.93,0.66,453.42,4.23,3.33,3.28,0.1653383507,0.1601246662
control,development,processing a photosensitive material in order to make an image visible,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,3.8,0.4,469.57,5.91,3.05,2.95,0.03898262151,0.06120873316
control,development,(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated,"change, growth, or improvement over a period of time",https://doi.org/10.1075/celcr.14,0,0,0,5.44,1.7,470,4.81,3.14,3.27,0.1352852379,0.1403968002
control,role,the actions and activities assigned to or required or expected of a person or group,"the character played by a particular actor in a film, play etc.",https://doi.org/10.1075/celcr.14,0,0,0,5.09,0.15,537.57,4.9,3.23,3.24,0.1507002235,0.09239358215
control,role,an actor's portrayal of someone in a play,"the character played by a particular actor in a film, play etc.",https://doi.org/10.1075/celcr.14,1,1,1,6.57,0.7,505.6,5.21,3.44,3.5,0.300365791,0.2180785965
control,role,what something is used for,"the character played by a particular actor in a film, play etc.",https://doi.org/10.1075/celcr.14,0,0,0,1.5,,470,3.16,2.23,4.08,0.1024294123,0.1150896363
control,role,normal or customary activity of a person in a particular social setting,"the character played by a particular actor in a film, play etc.",https://doi.org/10.1075/celcr.14,0,0,0,4.45,0.17,507.14,5.92,2.59,3.64,0.1242037211,0.08875400121
control,elegant,refined and tasteful in appearance or behavior or style,elegant places and things are attractive because they are beautiful in a simple way,https://doi.org/10.1075/celcr.14,1,1,1,5.25,,550.4,5.05,2.34,3,0.3957975052,0.311310282
control,elegant,"suggesting taste, ease, and wealth",elegant places and things are attractive because they are beautiful in a simple way,https://doi.org/10.1075/celcr.14,0,0,0,5.75,,448.17,5.62,2.78,3.5,0.09766273038,0.1122516566
control,elegant,displaying effortless beauty and simplicity in movement or execution,elegant places and things are attractive because they are beautiful in a simple way,https://doi.org/10.1075/celcr.14,1,1,1,5.75,,534.67,4.89,2.88,3.71,0.2155290184,0.2705467977
control,support,the activity of providing for or maintaining by supplying with money or necessities,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5.22,0.72,464.6,4.92,3.25,3.08,0.2033063645,0.2002506678
control,support,aiding the cause or policy or interests of,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5.67,0.3,448.75,3.85,2.33,2.39,0.1923237192,0.1940565538
control,support,something providing immaterial assistance to a person or cause or interest,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5.22,0.56,478.29,5.1,2.51,2.51,0.159806042,0.1965692418
control,support,a military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5.89,1.39,488.31,5.37,3.29,2.99,0.1602852378,0.1555282915
control,support,documentary validation,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,3.5,8.99,503,5.84,3.01,3.91,0.1347180782,0.1433213179
control,support,the financial means whereby one lives,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,3.75,0.6,512.5,4.72,2.65,2.7,0.05272253733,0.1080337763
control,support,supporting structure that holds up or provides a foundation,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,1,1,1,4.38,0.7,569.6,5.59,3.49,2.09,0.3729242325,0.2684102796
control,support,the act of bearing the weight of or strengthening,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,1,6,0.88,488.25,4.47,2.84,3.37,0.1642113421,0.1496568043
control,support,a musical part (vocal or instrumental) that supports or provides background for other musical parts,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,6.38,1.73,405.64,4.96,3.24,2.86,0.1358027635,0.1621910005
control,support,any device that bears the weight of another thing,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,1,2.83,0.77,502.8,5.38,3.73,2.92,0.07969853579,0.08051149137
control,support,financial resources provided to make some project possible,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,1.86,0.6,462,5.23,2.54,2.44,0.1483743948,0.1539461551
control,support,"give moral or psychological support, aid, or courage to","something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,4.57,0,526.75,4.15,2.37,3.45,0.2228355419,0.2058045819
control,support,support materially or financially,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,3,,419,4.85,2.48,2.66,0.1806108505,0.1862335354
control,support,be behind; approve of,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,2.33,0,588.67,2.94,2.66,3.68,0.2214528397,0.228414014
control,support,be the physical support of; carry the weight of,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,1,1,1,1.25,3.74,545.8,3.78,3.53,2.92,0.1261371598,0.1564559018
control,support,establish or strengthen as with new evidence or facts,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5,2,479.25,5.37,2.74,2.92,0.1517338026,0.1977163658
control,support,adopt as a belief,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,6,0,530,4.64,1.78,3.08,0.1888638958,0.2580348402
control,support,support with evidence or authority or make more certain or confirm,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,4.56,0,445.83,4.68,2.55,3,0.1251616195,0.1508910447
control,support,argue or speak in defense of,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,5.4,3.51,528.33,6.13,2.97,2.73,0.1126354188,0.1515207638
control,support,play a subordinate role to (another performer),"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,4.67,6.52,454,5.33,2.98,3.22,0.08786358833,0.09903852046
control,support,be a regular customer or client of,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,4.67,0,416,4.55,3.37,3.63,0.09207725152,0.09137048076
control,support,put up with something or somebody unpleasant,"something that holds the weight of an object, building, or structure so that it does not move or fall",https://doi.org/10.1007/s10775-017-9345-2,0,0,0,2.6,0,476.5,3.95,2.5,3.06,-0.006800617091,0.02616030443
control,emerge,"come out into view, as from concealment",to come out of something or out from behind something,https://doi.org/10.6035/CLR,0,0,1,3.8,0,523,5.49,2.82,3.29,0.225365866,0.2344549
control,emerge,come out of,to come out of something or out from behind something,https://doi.org/10.6035/CLR,0,0,1,0,0,471,4.74,2.72,1.7,0.5368581414,0.4112469554
control,emerge,become known or apparent,to come out of something or out from behind something,https://doi.org/10.6035/CLR,0,0,0,3.25,0,511,5.55,1.7,3.88,0.2978258183,0.24957636
control,emerge,come up to the surface of or rise,to come out of something or out from behind something,https://doi.org/10.6035/CLR,1,1,1,3,5,481.67,5.36,3.67,2.45,0.3873231312,0.2738931129
control,emerge,happen or occur as a result of something,to come out of something or out from behind something,https://doi.org/10.6035/CLR,0,0,0,4.83,0,463,3.45,2.07,2.92,0.3209683541,0.2395260651
control,depression,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,an area on a surface that is lower than the parts around it,https://doi.org/10.6035/CLR,0,0,,4.38,1.22,535.33,4.97,2.32,3.25,0.1984553656,0.1946384309
