,word,sentence,word_sense,label,definitions,M-T,defs_means,ds_means,phy,img,conc,nb17,prec,IC,phy_ds,img_ds,conc_ds,nb17_ds,prec_ds,IC_ds
52,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,worry or cause anxiety in a persistent way,0.0,"{'physicality': 2.2154303623167984, 'imageability': 3.666790245889308, 'concreteness': 2.469421457504572, 'nb17': 0.0069774385, 'precision': 4.75, 'precision_IC': 0.0}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",2.2154303623167984,3.666790245889308,2.469421457504572,0.0069774385,4.75,0.0,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
53,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,use up,0.0,"{'physicality': 2.1471890254803956, 'imageability': 3.705467143607038, 'concreteness': 2.787558752724783, 'nb17': 0.038670283, 'precision': 0.0, 'precision_IC': 0.0}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",2.147189025480396,3.705467143607038,2.787558752724783,0.038670283,0.0,0.0,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
54,ate,"Now the Marais Poitevin is a pleasantly low-profile tourist attraction where you can take canal-boat trips from villages that have hardly changed in the 15-odd years I 've known them : Maillezais , with a huge and rather dull ruined abbey , and Coulon , where I first ate the delicious local version of moules marinieres called mouclade .",take in solid food,0.0,"cause to deteriorate due to the action of water, air, or an acid",0.0,"{'physicality': 1.8662298071070706, 'imageability': 3.5650369873957457, 'concreteness': 2.630247220633262, 'nb17': 0.03494804, 'precision': 4.333333333333333, 'precision_IC': 0.0}","{'physicality': 2.660832249546134, 'imageability': 4.534744859861412, 'concreteness': 3.3404338741201287, 'nb17': 0.1253834, 'precision': 3.25, 'precision_IC': 0.0}",1.8662298071070704,3.5650369873957457,2.630247220633262,0.03494804,4.333333333333333,0.0,2.660832249546134,4.534744859861412,3.3404338741201287,0.1253834,3.25,0.0
85,fishing,"The villagers ' main hobby seems to be fishing with peculiar , saucer-shaped nets suspended from precariously-perched bankside huts .",the act of someone who fishes as a diversion,0.0,the act of someone who fishes as a diversion,1.0,"{'physicality': 1.8481181879432143, 'imageability': 3.6624319074936755, 'concreteness': 2.8203732398794106, 'nb17': 0.06802792, 'precision': 7.142857142857143, 'precision_IC': 0.7897767235283281}","{'physicality': 1.8481181879432143, 'imageability': 3.6624319074936755, 'concreteness': 2.8203732398794106, 'nb17': 0.06802792, 'precision': 7.142857142857143, 'precision_IC': 0.7897767235283281}",1.8481181879432145,3.662431907493676,2.8203732398794106,0.06802792,7.142857142857143,0.7897767235283281,1.8481181879432145,3.662431907493676,2.8203732398794106,0.06802792,7.142857142857143,0.7897767235283281
86,fishing,"The villagers ' main hobby seems to be fishing with peculiar , saucer-shaped nets suspended from precariously-perched bankside huts .",the act of someone who fishes as a diversion,0.0,the occupation of catching fish for a living,1.0,"{'physicality': 2.107522697347294, 'imageability': 4.131766284391718, 'concreteness': 3.0312065432717414, 'nb17': 0.15411778, 'precision': 5.8, 'precision_IC': 0.7049392341759314}","{'physicality': 1.8481181879432143, 'imageability': 3.6624319074936755, 'concreteness': 2.8203732398794106, 'nb17': 0.06802792, 'precision': 7.142857142857143, 'precision_IC': 0.7897767235283281}",2.107522697347294,4.131766284391718,3.031206543271741,0.15411778,5.8,0.7049392341759314,1.8481181879432145,3.662431907493676,2.8203732398794106,0.06802792,7.142857142857143,0.7897767235283281
87,fishing,"The villagers ' main hobby seems to be fishing with peculiar , saucer-shaped nets suspended from precariously-perched bankside huts .",the act of someone who fishes as a diversion,0.0,seek indirectly,0.0,"{'physicality': 2.177043846812163, 'imageability': 3.384060597962737, 'concreteness': 2.1522047531153476, 'nb17': -0.00940953, 'precision': 0.5, 'precision_IC': 0.0}","{'physicality': 1.8481181879432143, 'imageability': 3.6624319074936755, 'concreteness': 2.8203732398794106, 'nb17': 0.06802792, 'precision': 7.142857142857143, 'precision_IC': 0.7897767235283281}",2.177043846812163,3.384060597962737,2.152204753115348,-0.00940953,0.5,0.0,1.8481181879432145,3.662431907493676,2.8203732398794106,0.06802792,7.142857142857143,0.7897767235283281
88,fishing,"The villagers ' main hobby seems to be fishing with peculiar , saucer-shaped nets suspended from precariously-perched bankside huts .",the act of someone who fishes as a diversion,0.0,catch or try to catch fish or shellfish,1.0,"{'physicality': 2.5454484477826416, 'imageability': 4.644712833578486, 'concreteness': 3.3078561306385357, 'nb17': 0.23156637, 'precision': 5.0, 'precision_IC': 2.4101334200804705}","{'physicality': 1.8481181879432143, 'imageability': 3.6624319074936755, 'concreteness': 2.8203732398794106, 'nb17': 0.06802792, 'precision': 7.142857142857143, 'precision_IC': 0.7897767235283281}",2.5454484477826416,4.644712833578486,3.307856130638536,0.23156637,5.0,2.4101334200804705,1.8481181879432145,3.662431907493676,2.8203732398794106,0.06802792,7.142857142857143,0.7897767235283281
93,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,a framework of wood or metal that contains a glass windowpane an...,1.0,"{'physicality': 2.1333346967933036, 'imageability': 4.465499426163486, 'concreteness': 3.5475438760354847, 'nb17': 0.13832313, 'precision': 7.2, 'precision_IC': 1.3109000086577827}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",2.133334696793304,4.465499426163486,3.5475438760354847,0.13832313,7.2,1.310900008657783,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
94,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,a transparent opening in a vehicle that allow vision out of the ...,1.0,"{'physicality': 1.9326308846708582, 'imageability': 3.7107781344177417, 'concreteness': 2.8847041730493133, 'nb17': 0.06946049, 'precision': 5.333333333333333, 'precision_IC': 0.534506076635933}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",1.9326308846708584,3.7107781344177417,2.8847041730493133,0.06946049,5.333333333333333,0.534506076635933,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
95,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,a transparent panel,0.0,"{'physicality': 2.060216985526269, 'imageability': 4.398732228712859, 'concreteness': 3.4679726133871056, 'nb17': 0.14146303, 'precision': 5.666666666666667, 'precision_IC': 1.5538039232025658}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",2.060216985526269,4.398732228712859,3.4679726133871056,0.14146303,5.666666666666667,1.5538039232025658,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
96,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,an opening that resembles a window in appearance or function,0.0,"{'physicality': 2.0729621894651373, 'imageability': 3.9745030788302658, 'concreteness': 2.97009066558885, 'nb17': 0.10977892, 'precision': 6.555555555555555, 'precision_IC': 2.283024519383554}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",2.0729621894651373,3.9745030788302658,2.97009066558885,0.10977892,6.555555555555555,2.283024519383554,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
97,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,the time period that is considered best for starting or finishin...,0.0,"{'physicality': 1.566804056505045, 'imageability': 3.302425208011171, 'concreteness': 2.4433524967031817, 'nb17': 0.015330613, 'precision': 3.4285714285714284, 'precision_IC': 0.2981146039488863}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",1.566804056505045,3.302425208011171,2.4433524967031817,0.015330613,3.4285714285714284,0.2981146039488863,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
98,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,a pane of glass in a window,1.0,"{'physicality': 1.8436458229379256, 'imageability': 4.45744436163313, 'concreteness': 3.542463218668595, 'nb17': 0.25122637, 'precision': 7.833333333333333, 'precision_IC': 3.2738907857368926}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",1.8436458229379256,4.45744436163313,3.542463218668595,0.25122637,7.833333333333333,3.2738907857368926,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
99,windows,"But Aulnay , just over 10 miles north-east of St Jean , is probably the best , its unassuming architecture a perfect frame for the sheer artistry of the carvings round its doors and windows .",a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,0.0,an opening in a wall or screen that admits light and air and thr...,1.0,"{'physicality': 2.258640237185164, 'imageability': 4.446272313079733, 'concreteness': 3.2067365293008883, 'nb17': 0.09934223, 'precision': 6.8, 'precision_IC': 0.9113971797803642}","{'physicality': 2.189762492455399, 'imageability': 4.4621075834365485, 'concreteness': 3.31912379325779, 'nb17': 0.11666634, 'precision': 6.368421052631579, 'precision_IC': 1.7253189939781524}",2.258640237185164,4.446272313079733,3.2067365293008883,0.09934223,6.8,0.9113971797803642,2.189762492455399,4.4621075834365485,3.31912379325779,0.11666634,6.368421052631579,1.7253189939781524
156,bought,She bought it .,obtain by purchase; acquire by means of a financial transaction,1.0,obtain by purchase; acquire by means of a financial transaction,1.0,"{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882,1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882
157,bought,She bought it .,obtain by purchase; acquire by means of a financial transaction,1.0,make illegal payments to in exchange for favors or influence,0.0,"{'physicality': 2.051278035911261, 'imageability': 3.636304356895799, 'concreteness': 2.5870710987655743, 'nb17': 0.06881169, 'precision': 4.375, 'precision_IC': 0.0}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",2.051278035911261,3.636304356895799,2.5870710987655743,0.06881169,4.375,0.0,1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882
158,bought,She bought it .,obtain by purchase; acquire by means of a financial transaction,1.0,be worth or be capable of buying,1.0,"{'physicality': 1.6936627692353208, 'imageability': 3.3221511553410505, 'concreteness': 2.3289752961957864, 'nb17': 0.18999887, 'precision': 2.6666666666666665, 'precision_IC': 3.2052292272451175}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",1.6936627692353208,3.3221511553410505,2.3289752961957864,0.18999887,2.6666666666666665,3.205229227245117,1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882
159,bought,She bought it .,obtain by purchase; acquire by means of a financial transaction,1.0,acquire by trade or sacrifice or exchange,0.0,"{'physicality': 2.211316039175457, 'imageability': 3.753002716153046, 'concreteness': 2.644860984825531, 'nb17': 0.17243196, 'precision': 4.285714285714286, 'precision_IC': 0.0}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",2.211316039175457,3.753002716153046,2.644860984825531,0.17243196,4.285714285714286,0.0,1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882
160,bought,She bought it .,obtain by purchase; acquire by means of a financial transaction,1.0,accept as true,0.0,"{'physicality': 1.7828732246535062, 'imageability': 2.6193643067552728, 'concreteness': 1.9747193938505074, 'nb17': 0.09539586, 'precision': 2.3333333333333335, 'precision_IC': 6.054397624433751}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.17660567, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",1.7828732246535062,2.6193643067552728,1.9747193938505077,0.09539586,2.333333333333333,6.054397624433751,1.6907087304004782,3.187087957042561,2.504141206675609,0.17660567,2.111111111111111,1.5861742035793882
181,buy,"But if the valuer is negligent and you buy the property relying on his report , you may still be able to sue him for damages .",obtain by purchase; acquire by means of a financial transaction,0.0,an advantageous purchase,1.0,"{'physicality': 2.001772235832819, 'imageability': 3.0589381469705663, 'concreteness': 2.3811117588064135, 'nb17': 0.350206, 'precision': 4.666666666666667, 'precision_IC': 4.713519758895456}","{'physicality': 1.6907087304004782, 'imageability': 3.187087957042561, 'concreteness': 2.504141206675609, 'nb17': 0.18475792, 'precision': 2.111111111111111, 'precision_IC': 1.5861742035793882}",2.001772235832819,3.0589381469705663,2.381111758806413,0.350206,4.666666666666667,4.713519758895456,1.6907087304004782,3.187087957042561,2.504141206675609,0.18475792,2.111111111111111,1.5861742035793882
187,invested,That money was invested as might be expected of the Tysons .,make an investment,0.0,make an investment,1.0,"{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}","{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}",2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0,2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0
188,invested,That money was invested as might be expected of the Tysons .,make an investment,0.0,give qualities or abilities to,1.0,"{'physicality': 2.0264241872673514, 'imageability': 3.124609345581038, 'concreteness': 2.2276470829695, 'nb17': 0.053051136, 'precision': 4.75, 'precision_IC': 0.0}","{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}",2.0264241872673514,3.124609345581038,2.2276470829695,0.053051136,4.75,0.0,2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0
189,invested,That money was invested as might be expected of the Tysons .,make an investment,0.0,furnish with power or authority; of kings or emperors,1.0,"{'physicality': 2.0602441807861496, 'imageability': 4.1530725937003385, 'concreteness': 2.867224438884938, 'nb17': 0.030478757, 'precision': 7.428571428571429, 'precision_IC': 4.597805961309378}","{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}",2.0602441807861496,4.1530725937003385,2.867224438884938,0.030478757,7.428571428571429,4.597805961309378,2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0
190,invested,That money was invested as might be expected of the Tysons .,make an investment,0.0,provide with power and authority,1.0,"{'physicality': 2.0382221162962413, 'imageability': 3.596568749709334, 'concreteness': 2.4979584650954934, 'nb17': 0.04251154, 'precision': 4.333333333333333, 'precision_IC': 0.0}","{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}",2.0382221162962413,3.596568749709334,2.4979584650954934,0.04251154,4.333333333333333,0.0,2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0
191,invested,That money was invested as might be expected of the Tysons .,make an investment,0.0,place ceremoniously or formally in an office or position,1.0,"{'physicality': 2.0211593142497453, 'imageability': 4.268732912301421, 'concreteness': 2.9618098848330567, 'nb17': 0.05221469, 'precision': 5.0, 'precision_IC': 0.0}","{'physicality': 2.0574919450618094, 'imageability': 3.8325405764493516, 'concreteness': 3.0019312270019056, 'nb17': 0.23741849, 'precision': 6.0, 'precision_IC': 0.0}",2.0211593142497453,4.268732912301421,2.9618098848330567,0.05221469,5.0,0.0,2.057491945061809,3.832540576449352,3.0019312270019056,0.23741849,6.0,0.0
197,cost,Pursuing legal action would have cost them money they did n't have ( unless it meant selling their house which was not an option ) but doing nothing left them with the feeling that justice was n't being done .,the total spent for goods or services including money and time and labor,0.0,the total spent for goods or services including money and time a...,1.0,"{'physicality': 1.8883431018188177, 'imageability': 3.7767386968432635, 'concreteness': 2.7197504119798914, 'nb17': 0.17748861, 'precision': 5.555555555555555, 'precision_IC': 0.39748613859851506}","{'physicality': 1.9456599378572292, 'imageability': 3.8796000204800474, 'concreteness': 2.752242695126436, 'nb17': 0.16460241, 'precision': 4.444444444444445, 'precision_IC': 0.476983366318218}",1.8883431018188177,3.776738696843264,2.7197504119798914,0.17748861,5.555555555555555,0.397486138598515,1.9456599378572288,3.879600020480048,2.752242695126436,0.16460241,4.444444444444445,0.476983366318218
